 Energia (KeV)            Area (m^2) 
       21.0000     0.416261
       22.0000     0.382239
       23.0000     0.350041
       24.0000     0.321848
       25.0000     0.300000
       26.0000     0.286163
       27.0000     0.278597
       28.0000     0.274880
       29.0000     0.272749
       30.0000     0.270000
       31.0000     0.264919
       32.0000     0.257741
       33.0000     0.249131
       34.0000     0.239693
       35.0000     0.230000
       36.0000     0.220474
       37.0000     0.210986
       38.0000     0.201266
       39.0000     0.191037
       40.0000     0.180000
       41.0000     0.167984
       42.0000     0.155413
       43.0000     0.142847
       44.0000     0.130848
       45.0000     0.120000
       46.0000     0.110740
       47.0000     0.102801
       48.0000    0.0957742
       49.0000    0.0892902
       50.0000    0.0830000
       51.0000    0.0766234
       52.0000    0.0701208
       53.0000    0.0635088
       54.0000    0.0567991
       55.0000    0.0500000
       56.0000    0.0431562
       57.0000    0.0364730
       58.0000    0.0302022
       59.0000    0.0246126
       60.0000    0.0200000
       61.0000    0.0165736
       62.0000    0.0140857
       63.0000    0.0122001
       64.0000    0.0106049
       65.0000   0.00900000
       66.0000   0.00716497
       67.0000   0.00519212
       68.0000   0.00324853
       69.0000   0.00150243
       70.0000  0.000130000
       71.0000  0.000127530
       72.0000  0.000110832
       73.0000  0.000108131
       74.0000  0.0000699096
